"","Site.ID","Site","Depth","Reef type","year","Hard coral","Soft coral","Bleached coral","Diseased coral","Dead coral","Sponge","Algae","Bare rock","Sand","Rubble","Other"
"202","HW","Hithadhoo west","10m","Outer","2021/22",4,0,0,0,0,0,80,4,0,12,0
"203","HW","Hithadhoo west","10m","Outer","2021/22",64.3,0,0,0,3.6,0,0,0,17.9,14.3,0
"204","HW","Hithadhoo west","10m","Outer","2021/22",65.5,0,0,0,0,0,0,0,3.4,31,0
"205","HW","Hithadhoo west","10m","Outer","2021/22",77.8,0,0,0,7.4,0,0,7.4,3.7,3.7,0
"206","HW","Hithadhoo west","10m","Outer","2021/22",16.6,0,0,0,0,0,13.3,66.7,0,3.3,0
"207","HW","Hithadhoo west","10m","Outer","2021/22",70.4,0,0,0,0,0,0,7.4,7.4,14.8,0
"208","HW","Hithadhoo west","10m","Outer","2021/22",72.4,0,0,0,0,0,0,24.1,0,3.4,0
"209","HW","Hithadhoo west","10m","Outer","2021/22",50,0,0,0,20,3.3,3.3,20,0,3.3,0
"210","HW","Hithadhoo west","10m","Outer","2021/22",40,0,0,0,0,0,6.7,33.3,0,20,0
"211","HW","Hithadhoo west","10m","Outer","2021/22",53.5,0,0,0,7.1,0,0,7.1,10.7,21.4,0
"212","HW","Hithadhoo west","10m","Outer","2021/22",89.6,0,0,0,0,0,6.9,0,0,3.4,0
"213","HW","Hithadhoo west","10m","Outer","2021/22",33.3,0,6.7,0,0,0,13.3,40,0,6.7,0
"214","HW","Hithadhoo west","10m","Outer","2021/22",81.5,0,0,0,3.7,0,0,3.7,0,11.1,0
"215","HW","Hithadhoo west","10m","Outer","2021/22",37.9,0,0,0,0,0,0,3.4,34.5,24.1,0
"216","HW","Hithadhoo west","10m","Outer","2021/22",68.9,0,0,0,0,0,0,31,0,0,0
"217","HW","Hithadhoo west","10m","Outer","2021/22",93.1,0,0,0,0,0,0,3.4,0,0,3.4
"218","HW","Hithadhoo west","10m","Outer","2021/22",34.4,0,0,0,3.4,0,3.4,44.8,3.4,10.3,0
"219","HW","Hithadhoo west","10m","Outer","2021/22",44.4,0,0,0,11.1,0,0,7.4,3.7,33.3,0
"220","HW","Hithadhoo west","10m","Outer","2021/22",20,0,0,0,0,3.3,13.3,43.3,0,16.7,3.3
"221","HW","Hithadhoo west","15m","Outer","2021/22",17.2,0,0,0,0,0,3.4,3.4,0,75.9,0
"222","HW","Hithadhoo west","15m","Outer","2021/22",6.6,0,0,0,0,10,0,73.3,0,6.7,3.3
"223","HW","Hithadhoo west","15m","Outer","2021/22",13.8,0,0,0,0,6.9,0,51.7,0,27.6,0
"224","HW","Hithadhoo west","15m","Outer","2021/22",33.3,0,0,0,0,6.7,0,60,0,0,0
"225","HW","Hithadhoo west","15m","Outer","2021/22",31,0,0,0,0,6.9,3.4,37.9,0,20.7,0
"226","HW","Hithadhoo west","15m","Outer","2021/22",34.5,0,0,0,0,10.3,3.4,41.4,0,10.3,0
"227","HW","Hithadhoo west","15m","Outer","2021/22",30,0,0,0,0,6.7,0,50,0,13.3,0
"228","HW","Hithadhoo west","15m","Outer","2021/22",3.6,0,0,0,0,7.1,0,89.3,0,0,0
"229","HW","Hithadhoo west","15m","Outer","2021/22",20.7,0,0,0,0,3.4,0,69,0,6.9,0
"230","HW","Hithadhoo west","15m","Outer","2021/22",13.3,0,0,0,0,10,0,73.3,0,3.3,0
"231","HW","Hithadhoo west","15m","Outer","2021/22",3.3,0,0,0,0,20,10,46.7,0,20,0
"232","HW","Hithadhoo west","15m","Outer","2021/22",17.9,0,0,0,0,14.3,0,67.9,0,0,0
"233","HW","Hithadhoo west","15m","Outer","2021/22",20,0,0,0,0,6.7,3.3,56.7,0,13.3,0
"234","HW","Hithadhoo west","15m","Outer","2021/22",6.7,0,0,0,0,3.3,10,36.7,0,43.3,0
"235","HW","Hithadhoo west","15m","Outer","2021/22",30,0,0,0,0,3.3,6.7,50,0,10,0
"236","HW","Hithadhoo west","15m","Outer","2021/22",17.2,0,0,0,0,3.4,0,79.3,0,0,0
"237","HW","Hithadhoo west","15m","Outer","2021/22",6.9,0,0,0,6.9,17.2,3.4,37.9,0,27.6,0
"238","HW","Hithadhoo west","15m","Outer","2021/22",20,0,0,0,0,0,3.3,70,0,3.3,3.3
"239","HW","Hithadhoo west","15m","Outer","2021/22",26.6,0,0,0,0,16.7,0,40,0,16.7,0
"240","HW","Hithadhoo west","15m","Outer","2021/22",48.2,0,0,0,0,3.4,3.4,37.9,0,6.9,0
